Hdr No,PurchaseOrderNumber,LineNumber,ReleaseNumber,ItemNumber,ItemDescription,Grade,Shape,Ground,Finish Type,Diameter,Thickness,Length,Width
1,18301480,1.0,,JC BB BB 18301480,"15/16 HEX C12L14

Shape - HEX
Grade - C12L14
Dia - 15/16",C12L14,Hex,No,,0.9375,,144.0,
2,140660,1.0,,ST1215XXRD006320CF,"Steel 1215 Round .632"" Cold Finished

",1215,Round,No,CF Bar,0.632,,144.0,
3,140661,1.0,,ST1144XXRD006630CF,"Steel 1144 Round .663"" Cold Finished",1144,Round,No,CF Bar,0.663,,144.0,
4,140674,1.0,,ST1215XXRD013750CF,"Steel 1215 Round 1-3/8"" Cold Finished",1215,Round,No,CF Bar,1.375,,144.0,
5,35032-IL,1.0,,ST10000HS12L14-NA-12,"STEEL 1.0000 HEX-SHARP 12L14 12'
BAR",12L14,Hex,No,,1.0,,144.0,
5,35032-IL,1.0,1.0,ST10000HS12L14-NA-12,"STEEL 1.0000 HEX-SHARP 12L14 12'
BAR",12L14,Hex,No,,1.0,,144.0,
5,35032-IL,1.0,2.0,ST10000HS12L14-NA-12,"STEEL 1.0000 HEX-SHARP 12L14 12'
BAR",12L14,Hex,No,,1.0,,144.0,
5,35032-IL,2.0,,ST11875RD12L14-NA-12,STEEL 1.1875 ROUND 12L14 12' BAR,12L14,Round,No,,1.1875,,144.0,
5,35032-IL,2.0,1.0,ST11875RD12L14-NA-12,STEEL 1.1875 ROUND 12L14 12' BAR,12L14,Round,No,,1.1875,,144.0,
5,35032-IL,2.0,2.0,ST11875RD12L14-NA-12,STEEL 1.1875 ROUND 12L14 12' BAR,12L14,Round,No,,1.1875,,144.0,
5,35032-IL,2.0,3.0,ST11875RD12L14-NA-12,STEEL 1.1875 ROUND 12L14 12' BAR,12L14,Round,No,,1.1875,,144.0,
6,226443,1.0,,12L14.5625,"CARBON STEEL 12L14 .5625 RD BAR WHEN USED
ON P/N Z5040017 - USE SAME AS PREVIOUS
VENDOR",12L14,RD,No,,0.5625,,144.0,
6,226443,2.0,,12L14.6875,CARBON STEEL 12L14 11/16 RD BAR,12L14,RD,No,,0.6875,,144.0,
6,226443,3.0,,12/14.1.125,"Carbon Steel 12L14 1 1/8"" round bar",12L14,RD,No,,1.125,,144.0,
7,226575,1.0,,12/14DS.1.3125,"Carbon Steel 12L14 1 5/16"" Bar",12L14,,No,,1.3125,,144.0,
8,226577,1.0,,1215.8125,CARBON STEEL 1215 CF 13/16 RD BAR,1215,Round,No,CF Bar,0.8125,,144.0,
8,226577,2.0,,12l14DS.1.3125,"Carbon Steel 12L14 1 5/16"" Bar",12L14,,No,,1.3125,,144.0,
8,226577,3.0,,12L14DS.1.625,CARBON STEEL 12L14 1-5/8 RD BAR,12L14,Round,No,,1.625,,144.0,
9,226999,1.0,,12L14.375,CARBON STEEL 12L14 3/8 RD BAR,12L14,RD,No,,0.375,,144.0,
9,226999,2.0,,12l14DS.1.3125,"Carbon Steel 12L14 1 5/16"" Bar",12L14,,No,,1.3125,,144.0,
10,227029,1.0,,12L14.625, CARBON STEEL 12L14 5/8 RD BAR MUST MEET ASTM A-108 -18,12L14,Round,No,,0.625,,144.0,
10,227029,2.0,,12l14DS.1.3125,"Carbon Steel 12L14 1 5/16"" Bar",12L14,,No,,1.3125,,144.0,
10,227029,3.0,,12L14DS.1.625,CARBON STEEL 12L14 1-5/8 RD BAR,12L14,Round,No,,1.625,,144.0,
11,35335-IL,,,ST10625RD12L14-NA-12,STEEL 1.0625 ROUND 12L14 12' BAR,12L14,Round,No,,1.0625,,144.0,
11,35335-IL,,,,,,,No,,,,144.0,
11,35335-IL,,,,,,,,,,,144.0,
12,22730-WI,,,ST06250HS1215-NA-12,STEEL 0.6250 HEX-SHARP 1215 12' BAR,1215,Hex,No,,0.625,,144.0,
12,22730-WI,,,,,,,No,,,,144.0,
12,22730-WI,,,,,,,No,,,,144.0,
12,22730-WI,,,ST04375RD12L14-NA-12,STEEL 0.4375 ROUND 12L14 12' BAR,12L14,Round,No,,0.4375,,144.0,
12,22730-WI,,,,,,,No,,,,144.0,
12,22730-WI,,,,,,,No,,,,144.0,
13,18306387,1.0,,JC BB BB 18306387,"1 RD CF C12L14
SPECIAL C12L14 PRICING",C12L14,Round,No,CF Bar,,,,
14,SL020584,,,06240 Hx 1020,".624 Hex 1020 OD .624 +0/-.002""
SAE-J 403 **Requires Both
Chamfered as of 2-24-24**
Base Price: 0.6675/LB
Surcharge: 0.1485/LB",1020,Hex,No,,0.624,,144.0,
14,SL020584,,,,"This is the ""NOW"" order.",,,,,,,,
14,SL020584,,,,"This is the ""NOW"" order.",,,,,,,,
14,SL020584,,,,,,,No,,,,144.0,
14,SL020584,,,,,,,No,,,,144.0,
15,18296897,1.0,,00800900,3/4 HEX CF C12L14,C12L14,Hex,No,CF Bar,0.75,,144.0,
16,78046,1.0,,CR031.4375RD,"1-7/16""RD 1215 CF Steel
color code bar ends gold
Certifications Required
21778-FS35 6-44B",1215,Round,No,CF Bar,1.4375,,144.0,
16,78046,2.0,,CR01.750RD,"3/4""RD 12L14 CF Steel
color code bar ends white
Certifications Required
22900-FS36, FS37 6WA, 6WF",12L14,Round,No,CF Bar,0.75,,144.0,
16,78046,3.0,,CR011.125RD,"1-1/8"" RD 12L14 CF Steel
color code bar ends white
Certifications Required
20361-FS15 1-3/4E",12L14,Round,No,CF Bar,1.125,,144.0,
16,78046,4.0,,CR01.5625HEX,"9/16"" HEX 12L14 CF Steel
color code bar ends white
Certifications Required
23285-FS22 D18",12L14,Hex,No,CF Bar,0.5625,,144.0,
